STATUS | wrapper  | 2013/05/22 13:28:50 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/05/22 13:28:50 | Launching a JVM...
INFO   | jvm 1    | 2013/05/22 13:28:50 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2013/05/22 13:28:50 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2013/05/22 13:28:50 | 
INFO   | jvm 1    | 2013/05/22 13:28:50 | 2013-05-22 13:28:50.822:INFO::Logging to org.sonar.application.FilteredLogger@121bfd6 via org.sonar.application.FilteredLogger
INFO   | jvm 1    | 2013/05/22 13:28:50 | 2013-05-22 13:28:50.853:INFO::jetty-6.1.25
INFO   | jvm 1    | 2013/05/22 13:28:51 | 2013-05-22 13:28:50.947:INFO::NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
2013.05.22 13:28:51 INFO  o.s.s.p.ServerImpl  Sonar Server / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.05.22 13:28:52 INFO  o.s.s.d.EmbeddedDatabase  Starting embedded database on port 9092 with url jdbc:h2:tcp://localhost:9092/sonar
2013.05.22 13:28:52 INFO  o.s.s.d.EmbeddedDatabase  Embedded database started. Data stored in: C:\work\sonar-3.5.1\data
2013.05.22 13:28:52 WARN  o.s.c.p.DefaultDatabase  H2 database should be used for evaluation purpose only
2013.05.22 13:28:52 INFO  o.s.c.p.Database  Create JDBC datasource for jdbc:h2:tcp://localhost:9092/sonar
2013.05.22 13:28:53 INFO  o.s.s.p.DefaultServerFileSystem  Sonar home: C:\work\sonar-3.5.1
2013.05.22 13:28:53 INFO  o.s.s.p.DefaultServerFileSystem  Deploy dir: C:\work\sonar-3.5.1\war\sonar-server\deploy
2013.05.22 13:28:53 INFO  org.sonar.INFO  Install plugins...
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Findbugs / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Groovy / 0.6 / 2418390b988d1f8acc5bf7c6689a7aa9d6d75722
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin JaCoCo / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin English Pack / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Surefire / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Duplications / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Checkstyle / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin PMD / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Java / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Core / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Database Cleaner / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Cobertura / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Squid for Java / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Email notifications / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.05.22 13:28:53 INFO  o.s.s.p.PluginDeployer  Deploy plugin Design / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.05.22 13:28:53 INFO  org.sonar.INFO  Install plugins done: 631 ms
2013.05.22 13:28:53 INFO  o.s.s.p.ApplicationDeployer  Deploy Ruby on Rails applications
2013.05.22 13:28:54 INFO  jruby.rack  jruby 1.6.8 (ruby-1.8.7-p357) (2012-09-18 1772b40) (Java HotSpot(TM) Client VM 1.7.0) [Windows 7-x86-java]
2013.05.22 13:28:54 INFO  jruby.rack  using a shared (threadsafe!) runtime
INFO   | jvm 1    | 2013/05/22 13:28:57 | JRuby limited openssl loaded. http://jruby.org/openssl
INFO   | jvm 1    | 2013/05/22 13:28:57 | gem install jruby-openssl for full support.
2013.05.22 13:29:00 INFO  o.s.c.p.DatabaseMigrator  Create database
2013.05.22 13:29:00 INFO  org.sonar.INFO  Start components...
2013.05.22 13:29:00 INFO  o.s.j.s.AbstractDatabaseConnector  Initializing Hibernate
2013.05.22 13:29:02 INFO  o.s.s.n.NotificationService  Notification service started (delay 60 sec.)
2013.05.22 13:29:02 INFO  org.sonar.INFO  Deploy GWT plugins...
2013.05.22 13:29:02 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.libraries.LibrariesPage to C:\work\sonar-3.5.1\war\sonar-server\deploy\gwt
2013.05.22 13:29:02 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.page.DesignPage to C:\work\sonar-3.5.1\war\sonar-server\deploy\gwt
2013.05.22 13:29:02 INFO  org.sonar.INFO  Deploy GWT plugins done: 769 ms
2013.05.22 13:29:02 INFO  org.sonar.INFO  Load metrics...
2013.05.22 13:29:03 INFO  org.sonar.INFO  cleaning alert thresholds...
2013.05.22 13:29:03 INFO  org.sonar.INFO  Load metrics done: 375 ms
2013.05.22 13:29:03 INFO  org.sonar.INFO  Register rules [findbugs/java]...
2013.05.22 13:29:03 INFO  org.sonar.INFO  414 rules
2013.05.22 13:29:03 INFO  org.sonar.INFO  Register rules [findbugs/java] done: 280 ms
2013.05.22 13:29:03 INFO  org.sonar.INFO  Register rules [grvy/grvy]...
2013.05.22 13:29:03 INFO  org.sonar.INFO  286 rules
2013.05.22 13:29:03 INFO  org.sonar.INFO  Register rules [grvy/grvy] done: 106 ms
2013.05.22 13:29:03 INFO  org.sonar.INFO  Register rules [checkstyle/java]...
2013.05.22 13:29:03 INFO  org.sonar.INFO  128 rules
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [checkstyle/java] done: 366 ms
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [pmd/java]...
2013.05.22 13:29:04 INFO  org.sonar.INFO  232 rules
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [pmd/java] done: 583 ms
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java]...
